X,Y
-14.25,-33.19
-14.25,-33.19
-14.25,-33.19
-142.75,-3.57
-142.75,-3.57
-142.75,-3.57
-142.75,-3.57
161.16,32.38
161.16,32.38
161.16,32.38
161.16,32.38
27.50,28.26
27.50,28.26
27.50,28.26
27.50,28.26
166.08,43.67
166.08,43.67
166.08,43.67
11.45,-25.56
38.90,-19.96
38.90,-19.96
38.90,-19.96
-11.80,-30.08
-11.80,-30.08
-11.80,-30.08
-11.80,-30.08
-27.28,-31.89
-27.28,-31.89
-27.28,-31.89
-27.28,-31.89
16.37,-26.31
16.37,-26.31
16.37,-26.31
16.37,-26.31
-135.61,-28.90
-135.61,-28.90
-135.61,-28.90
-142.18,-25.06
-172.51,-9.49
-172.51,-9.49
-172.51,-9.49
43.92,34.66
43.92,34.66
43.92,34.66
43.92,34.66
146.83,37.04
146.83,37.04
146.83,37.04
146.83,37.04
41.51,12.81
41.51,12.81
41.51,12.81
41.51,12.81
10.56,-17.81
10.56,-17.81
10.56,-17.81
10.56,-17.81
-35.45,-34.89
-35.45,-34.89
-35.45,-34.89
-26.58,-14.62
-26.58,-14.62
-26.58,-14.62
-26.58,-14.62
-26.71,-23.32
-26.71,-23.32
-26.71,-23.32
-26.71,-23.32
-138.98,21.84
-138.98,21.84
-138.98,21.84
-138.98,21.84
59.39,9.77
59.39,9.77
59.39,9.77
108.27,10.79
-148.45,43.82
-148.45,43.82
-148.45,43.82
12.78,10.24
12.78,10.24
12.78,10.24
12.78,10.24
27.10,15.72
27.10,15.72
27.10,15.72
27.10,15.72
-22.89,-28.23
-22.89,-28.23
-22.89,-28.23
-22.89,-28.23
-29.77,-23.67
-29.77,-23.67
-29.77,-23.67
-34.69,-27.39
-23.05,-8.74
-23.05,-8.74
-23.05,-8.74
-138.30,-3.60
-138.30,-3.60
-138.30,-3.60
-138.30,-3.60
148.76,13.17
148.76,13.17
148.76,13.17
148.76,13.17
12.03,77.32
12.03,77.32
12.03,77.32
12.03,77.32
142.93,40.70
142.93,40.70
142.93,40.70
30.05,32.80
44.85,4.20
44.85,4.20
44.85,4.20
44.80,4.83
-19.90,6.52
-19.90,6.52
-19.90,6.52
-36.55,-31.05
-36.55,-31.05
-36.55,-31.05
-36.55,-31.05
1.94,8.35
1.94,8.35
1.94,8.35
1.94,8.35
-150.76,-16.97
-150.76,-16.97
-150.76,-16.97
-150.76,-16.97
-155.02,26.17
-155.02,26.17
-155.02,26.17
-155.02,26.17
19.70,39.00
19.70,39.00
19.70,39.00
159.64,40.50
141.54,24.72
141.54,24.72
141.54,24.72
45.91,5.82
45.91,5.82
45.91,5.82
45.91,5.82
25.28,13.28
25.28,13.28
25.28,13.28
25.28,13.28
-6.87,-33.57
-6.87,-33.57
-6.87,-33.57
-6.87,-33.57
8.24,9.26
8.24,9.26
8.24,9.26
8.24,9.26
1.68,-57.44
1.68,-57.44
1.68,-57.44
1.68,-57.44
-135.01,1.27
-135.01,1.27
-135.01,1.27
-135.01,1.27
139.11,42.34
139.11,42.34
139.11,42.34
30.41,13.55
43.86,11.52
43.86,11.52
43.86,11.52
138.92,26.96
138.92,26.96
138.92,26.96
138.92,26.96
40.84,30.70
40.84,30.70
40.84,30.70
40.84,30.70
0.32,19.04
0.32,19.04
0.32,19.04
0.32,19.04
-26.22,13.05
-26.22,13.05
-26.22,13.05
-26.22,13.05
4.79,62.99
4.79,62.99
4.79,62.99
4.79,62.99
-9.60,1.09
-9.60,1.09
-9.60,1.09
-9.60,1.09
-142.97,14.46
-142.97,14.46
-142.97,14.46
-135.26,40.81
130.76,36.93
130.76,36.93
130.76,36.93
16.13,41.03
16.13,41.03
16.13,41.03
16.13,41.03
161.20,35.96
161.20,35.96
161.20,35.96
161.20,35.96
51.26,19.42
51.26,19.42
51.26,19.42
51.26,19.42
4.40,-16.75
4.40,-16.75
4.40,-16.75
4.40,-16.75
-22.55,-37.16
-22.55,-37.16
-22.55,-37.16
2.63,-12.80
2.85,-12.80
2.85,-12.80
2.85,-12.80
-13.15,-24.76
-13.15,-24.76
-13.15,-24.76
-13.15,-24.76
-128.34,5.31
-128.34,5.31
-128.34,5.31
-128.34,5.31
176.01,29.71
176.01,29.71
176.01,29.71
176.01,29.71
38.22,32.39
38.22,32.39
38.22,32.39
38.22,32.39
119.52,27.33
119.52,27.33
119.52,27.33
36.88,15.50
36.88,15.50
36.88,15.50
36.88,15.50
19.93,-14.61
19.93,-14.61
19.93,-14.61
19.93,-14.61
-13.71,-43.39
-13.71,-43.39
-13.71,-43.39
-13.71,-43.39
-4.86,-40.35
-4.86,-40.35
-4.86,-40.35
-4.86,-40.35
-44.08,-16.67
-44.08,-16.67
-44.08,-16.67
-140.28,-15.28
-135.03,-1.75
-135.03,-1.75
-135.03,-1.75
153.43,-32.40
153.43,-32.40
153.43,-32.40
153.43,-32.40
17.25,29.67
17.25,29.67
17.25,29.67
17.25,29.67
180.00,6.86
180.00,6.86
180.00,6.86
180.00,6.86
50.11,11.84
50.11,11.84
50.11,11.84
50.11,11.84
-13.93,13.16
-13.93,13.16
-13.93,13.16
-12.03,11.37
-35.04,-34.56
-35.04,-34.56
-35.04,-34.56
-15.33,-31.16
-15.33,-31.16
-15.33,-31.16
-15.33,-31.16
-137.08,-37.39
-137.08,-37.39
-137.08,-37.39
-137.08,-37.39
-148.63,0.48
-148.63,0.48
-148.63,0.48
-148.63,0.48
37.82,1.24
37.82,1.24
37.82,1.24
37.82,1.24
151.03,-21.65
151.03,-21.65
151.03,-21.65
37.89,-6.06
37.89,-6.06
37.89,-6.06
37.89,-6.06
4.12,-6.80
4.12,-6.80
4.12,-6.80
4.12,-6.80
-37.05,-31.56
-37.05,-31.56
-37.05,-31.56
-37.05,-31.56
-14.34,-20.77
-14.34,-20.77
-14.34,-20.77
-14.34,-20.77
-52.21,-25.61
-52.21,-25.61
-52.21,-25.61
-52.21,-25.61
-138.98,4.39
-138.98,4.39
-138.98,4.39
-82.27,6.63
43.41,46.25
43.41,46.25
43.41,46.25
177.29,-17.93
177.29,-17.93
177.29,-17.93
177.29,-17.93
36.11,18.87
36.11,18.87
36.11,18.87
36.11,18.87
8.16,26.28
8.16,26.28
8.16,26.28
8.16,26.28
-34.88,-31.92
-34.88,-31.92
-34.88,-31.92
-34.88,-31.92
-0.65,-15.46
-0.65,-15.46
-0.65,-15.46
-0.65,-15.46
-146.05,-25.71
-146.05,-25.71
-146.05,-25.71
-141.21,-0.61
-141.21,-0.61
-141.21,-0.61
-141.21,-0.61
131.50,36.62
131.50,36.62
131.50,36.62
131.50,36.62
160.94,45.80
160.94,45.80
160.94,45.80
160.94,45.80
131.71,39.51
131.71,39.51
131.71,39.51
40.89,3.47
40.69,3.48
40.69,3.48
40.69,3.48
-31.39,-21.92
-31.39,-21.92
-31.39,-21.92
-31.39,-21.92
-24.30,-26.47
-24.30,-26.47
-24.30,-26.47
-24.30,-26.47
-3.25,-11.32
-3.25,-11.32
-3.25,-11.32
-3.25,-11.32
-141.37,11.29
-141.37,11.29
-141.37,11.29
-141.37,11.29
150.06,23.59
150.06,23.59
150.06,23.59
1.00,26.92
1.00,26.92
1.00,26.92
1.00,26.92
143.63,20.95
143.63,20.95
143.63,20.95
143.63,20.95
42.82,16.01
42.82,16.01
42.82,16.01
42.82,16.01
-14.35,-8.42
-14.35,-8.42
-14.35,-8.42
-14.35,-8.42
-27.31,-30.76
-27.31,-30.76
-27.31,-30.76
-27.31,-30.76
9.73,-6.29
9.73,-6.29
9.73,-6.29
132.24,-28.65
-118.91,-27.61
-118.91,-27.61
-118.91,-27.61
-143.33,12.75
-143.33,12.75
-143.33,12.75
-143.33,12.75
57.49,19.71
57.49,19.71
57.49,19.71
57.49,19.71
143.48,53.01
143.48,53.01
143.48,53.01
144.32,51.52
140.07,46.51
140.07,46.51
140.07,46.51
9.05,26.92
9.05,26.92
9.05,26.92
9.05,26.92
-32.76,-29.92
-32.76,-29.92
-32.76,-29.92
-32.76,-29.92
9.53,-27.65
9.53,-27.65
9.53,-27.65
9.53,-27.65
-1.36,-21.70
-1.36,-21.70
-1.36,-21.70
-1.36,-21.70
-134.18,-8.50
-134.18,-8.50
-134.18,-8.50
-134.18,-8.50
167.00,37.81
167.00,37.81
167.00,37.81
17.54,55.27
18.44,62.11
18.44,62.11
18.44,62.11
160.00,27.49
160.00,27.49
160.00,27.49
160.00,27.49
44.65,3.82
44.65,3.82
44.65,3.82
44.65,3.82
21.71,-5.10
21.71,-5.10
21.71,-5.10
21.71,-5.10
-31.90,-35.49
-31.90,-35.49
-31.90,-35.49
-31.90,-35.49
-9.63,-1.04
-9.63,-1.04
-9.63,-1.04
-9.63,-1.04
-57.09,-25.76
-57.09,-25.76
-57.09,-25.76
-147.78,16.02
-136.65,13.86
-136.65,13.86
-136.65,13.86
41.48,-26.43
41.48,-26.43
41.48,-26.43
41.48,-26.43
2.58,26.19
2.58,26.19
2.58,26.19
2.58,26.19
-53.60,-34.00
-53.60,-34.00
-53.60,-34.00
-53.60,-34.00
35.35,-24.01
35.35,-24.01
35.35,-24.01
35.35,-24.01
-32.22,-33.96
-32.22,-33.96
-32.22,-33.96
-31.86,-33.59
-34.90,-10.57
-34.90,-10.57
-34.90,-10.57
-12.16,-38.85
-12.16,-38.85
-12.16,-38.85
-12.16,-38.85
-112.73,-13.39
-112.73,-13.39
-112.73,-13.39
-112.73,-13.39
